"from","to","rate"
"1960",1961,1.01
"1961",1962,1.03
"1962",1963,1.04
"1963",1964,1.05
"1964",1965,1.06
"1965",1966,1.08
"1966",1967,1.11
"1967",1968,1.14
"1968",1969,1.19
"1969",1970,1.26
"1970",1971,1.33
"1971",1972,1.39
"1972",1973,1.43
"1973",1974,1.52
"1974",1975,1.69
"1975",1976,1.85
"1976",1977,1.95
"1977",1978,2.08
"1978",1979,2.24
"1979",1980,2.49
"1980",1981,2.83
"1981",1982,3.12
"1982",1983,3.31
"1983",1984,3.42
"1984",1985,3.56
"1985",1986,3.69
"1986",1987,3.76
"1987",1988,3.9
"1988",1989,4.06
"1989",1990,4.25
"1990",1991,4.48
"1991",1992,4.67
"1992",1993,4.81
"1993",1994,4.96
"1994",1995,5.08
"1995",1996,5.23
"1996",1997,5.38
"1997",1998,5.51
"1998",1999,5.59
"1999",2000,5.71
"2000",2001,5.91
"2001",2002,6.07
"2002",2003,6.17
"2003",2004,6.31
"2004",2005,6.48
"2005",2006,6.7
"2006",2007,6.92
"2007",2008,7.11
"2008",2009,7.39
"2009",2010,7.36
"2010",2011,7.48
"2011",2012,7.72
"2012",2013,7.88
"2013",2014,7.99
"2014",2015,8.12
"2015",2016,8.13
"2016",2017,8.23
"2017",2018,8.41
"2018",2019,8.61
